id,title,movie,year,singers,lyricist,composer,mood,themes,lyrics,source_url
26,Mukkala Mukkabala,Kadhalan,1994.0,Mano; Swarnalatha,Vaali,A. R. Rahman,Energetic,Dance;Fun;Youth, dance energy fun youth கொண்டாட்டம்,
27,Why This Kolaveri Di,3,2011.0,Dhanush,Dhanush,Anirudh Ravichander,Sad,Breakup;Humor;Tanglish, soup song breakup humor tanglish love failure,
28,Kanave Kanave,David,2013.0,Anirudh Ravichander,Mohan Rajan,Anirudh Ravichander,Sad,Dream;Loss;Pain, dream loss pain sad kanavu கனவு வலி,
29,Po Nee Po,3,2011.0,Mohit Chauhan; Anirudh Ravichander,Dhanush,Anirudh Ravichander,Sad,Breakup;Separation;Pain, go away separation pain love failure பிரிவு,
30,Idhazhin Oram,3,2011.0,Ajesh Ashok; Anirudh Ravichander,Dhanush,Anirudh Ravichander,Romantic,Love;Smile;Youth, smile love youth romance காதல் சிரிப்பு,
31,Rowdy Baby,Maari 2,2018.0,Dhanush; Dhee,Poetu Dhanush,Yuvan Shankar Raja,Energetic,Dance;Fun;Mass, dance fun energy playful kuthu,
32,Aaluma Doluma,Vedalam,2015.0,Anirudh Ravichander; Badshah,Rokesh,Anirudh Ravichander,Energetic,Mass;Dance;Celebration, mass dance celebration energy kuthu,
33,Vaathi Coming,Master,2021.0,Anirudh Ravichander; Gana Balachandar,Gana Balachandar,Anirudh Ravichander,Energetic,Dance;Mass;College, mass college dance energetic celebration,
34,Arabic Kuthu,Beast,2022.0,Anirudh Ravichander; Jonita Gandhi,Sivakarthikeyan,Anirudh Ravichander,Energetic,Dance;Fun;Love, dance fun love energetic kuthu,
35,Ranjithame,Varisu,2023.0,Vijay; M. M. Manasi,Vivek,Thaman S,Energetic,Dance;Celebration;Romance, dance celebration romance festive,
36,Naa Ready,Leo,2023.0,Vijay; Anirudh Ravichander,Vishnu Edavan,Anirudh Ravichander,Energetic,Mass;Celebration;Power, mass power celebration energy,
37,Anbil Avan reprise demo,Demo Album,2024.0,Demo Singer,Demo Lyricist,Demo Composer,Romantic,Love;Hope;Eyes, synthetic love hope eyes கண் பார்வை,
38,Thalli Pogathey,Achcham Yenbadhu Madamaiyada,2016.0,Sid Sriram; Aparna Narayanan,Thamarai,A. R. Rahman,Romantic,Love;Longing;Distance, distance longing love missing காதல் ஏக்கம்,
39,Maruvaarthai,Enai Noki Paayum Thota,2019.0,Sid Sriram,Thamarai,Darbuka Siva,Romantic,Love;Memory;Longing, memory love longing heart நினைவு காதல்,
40,Kannana Kanne,Viswasam,2019.0,Sid Sriram,Thamarai,D. Imman,Emotional,Father;Child;Love, family child affection tears love அன்பு,
41,Kurumugil,Sita Ramam Tamil,2022.0,Sai Vignesh,Madhan Karky,Vishal Chandrasekhar,Romantic,Love;Cloud;Longing, cloud longing love kurugumil mazhai காதல்,
42,Megham Karukatha,Thiruchitrambalam,2022.0,Dhanush,Dhanush,Anirudh Ravichander,Romantic,Rain;Love;Friendship, clouds rain love friendship மழை காதல்,
43,Thenmozhi,Thiruchitrambalam,2022.0,Santhosh Narayanan,Dhanush,Anirudh Ravichander,Romantic,Love;Softness;Memory, soft love memory affection காதல் நினைவு,
44,Kadhale Kadhale,96,2018.0,Chinmayi; Govind Vasantha,Karthik Netha,Govind Vasantha,Melancholy,Love;Memory;Nostalgia, nostalgia school love memory காதல் நினைவு,
45,The Life of Ram,96,2018.0,Pradeep Kumar,Karthik Netha,Govind Vasantha,Melancholy,Travel;Memory;Solitude, travel solitude memory life தனிமை நினைவு,
46,Kaathalae Kaathalae,96,2018.0,Chinmayi; Govind Vasantha,Karthik Netha,Govind Vasantha,Romantic,Love;Nostalgia;Yearning, yearning nostalgia love காதல் ஏக்கம்,
47,Oru Deivam Thantha Poove,Kannathil Muthamittal,2002.0,P. Jayachandran; Chinmayi,Vairamuthu,A. R. Rahman,Emotional,Mother;Child;Love, mother child love affection அம்மா அன்பு,
48,Vellai Pookal,Kannathil Muthamittal,2002.0,A. R. Rahman,Vairamuthu,A. R. Rahman,Peaceful,Peace;Hope;World, peace hope world flowers அமைதி நம்பிக்கை,
49,Munbe Vaa reprise demo,Demo Collection,2024.0,Demo Singer,Demo Lyricist,Demo Composer,Romantic,Eyes;Love;Rain, synthetic eyes rain love கண் மழை காதல்,
50,Mazhai Varum,Veppam,2011.0,Suzanne D'Mello,Na. Muthukumar,Joshua Sridhar,Romantic,Rain;Love;Longing, rain coming love longing mazhai மழை காதல்,
51,Kangal Irandal,Subramaniapuram,2008.0,Bellie Raj; Deepa Mariam,Thamarai,James Vasanthan,Romantic,Eyes;Love;Village, eyes gaze village love kangal கண்கள் காதல்,
52,Oru Kal Oru Kannadi,Siva Manasula Sakthi,2009.0,Yuvan Shankar Raja,Na. Muthukumar,Yuvan Shankar Raja,Romantic,Eyes;Love;Pain, eyes mirror love pain kannadi கண் காதல்,
53,Ennodu Nee Irundhaal,I,2015.0,Sid Sriram; Sunitha Sarathy,Kabilan,A. R. Rahman,Romantic,Love;Togetherness;Devotion, together love devotion heart காதல் அன்பு,
54,Pookkalae Sattru Oyivedungal,I,2015.0,Haricharan; Shreya Ghoshal,Madhan Karky,A. R. Rahman,Romantic,Love;Flowers;Nature, flowers love nature beauty பூ காதல்,
55,Aathangara Marame,Kizhakku Cheemayile,1993.0,Mano; Sujatha Mohan,Vairamuthu,A. R. Rahman,Folk,Village;Nature;Love, village river tree love nature கிராமம் காதல்,
56,Nila Kaigirathu,Indira,1995.0,Harini,Vairamuthu,A. R. Rahman,Melancholy,Moon;Loneliness;Childhood, moon loneliness night nila நிலா தனிமை,
57,Malargale Malargale,Love Birds,1996.0,Hariharan; K. S. Chithra,Vairamuthu,A. R. Rahman,Romantic,Flowers;Love;Nature, flowers love nature soft பூ காதல் இயற்கை,
58,Telephone Manipol,Indian,1996.0,Hariharan; Harini,Vaali,A. R. Rahman,Playful,Love;Technology;Fun, playful love phone fun காதல் விளையாட்டு,
59,Suttum Vizhi,Ghajini,2005.0,Sriram Parthasarathy; Bombay Jayashri,Na. Muthukumar,Harris Jayaraj,Romantic,Eyes;Love;Beauty, eyes beauty love vizhi விழி கண் காதல்,
60,Oru Maalai,Ghajini,2005.0,Karthik,Thamarai,Harris Jayaraj,Romantic,Evening;Love;Memory, evening love memory maalai காதல் நினைவு,
61,Ponni Nadhi,,,,,,,,"Press Enter to search · Esc to close
Ponni Nadhi Song
Lyrics is the first single from “
Ponniyin Selvan
” tamil film, a multi-starrer film. This song is sung by “A.R.Rahman, AR Raihanah, Bamba Bakya” and music composed by Isai Puyal Oscar Nayagan “
A.R.Rahman
“. Lyrics works are penned by lyricist “Ilango Krishnan”.
Singers :
A. R. Rahman, A. R. Reihana and Bamba Bakya
Music by :
A. R. Rahman
Lyrics by
:
Ilango Krishnan
Ohh.. Kavariyaal neermadikku
Ambaramaai anaiyeduthaan
Neer satham ketadhumae
Nel poothu nikkum
Uli saththam ketadhumae
Kal poothu nikkum
Pagai satham ketadhumae
Vil poothu nikkum
Chozhathin perumaikoora
Sol poothu nikkum
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Theeyari esamaari
Kanni pengal kaananumae
Chorus :
Theeyari Esamaari
Male :
Kaatraippola
Chorus :
Theeyari Esamaari
Male :
Pottal Kadandhu
Chorus :
Theeyari Esamari
Male :
Puzhudhi Kadandhu
Chorus :
Theeyari Esamari
Male :
Tharisu Kadandhu
Chorus :
Theeyari Esamari
Male :
Karisal Kadandhu
Chorus :
Veeram Velanja Mannu
Andho naan ivvazhaginilae..
Chorus :
Haiye semba semba
Male :
Kaalam marandhadhenna..
Chorus :
Haiye
Male :
Hoo oo oo oo
Manne un maarbil kidakka
Chorus :
Pachai naranja mannu
Achho oor aasai mulaika
Chorus :
Manju thoorum mannu
Male :
En kaalam kaniyadho
Chorus :
Kokku pootha mannu
En kaalgal thaniyadho
Chorus :
Vella manasu mannu
Male :
Sembanee
Chorus :
Veeram velanja mannu
Thathatthada thathatthada thathatthada
Thadavane sel..
Chorus :
Veeram velanja mannu
Ponni Magal
Chorus :
Theeyari Esamaari
Laali lallaa laali lalla laali lalla
Paadi sellum
All :
Veera chozhapuri
Paarthu viraivaai nee
Thaavu azhaga
Thaavum nadhiyaai
Saga.. kanavai.. mudida..
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Veeram velanja mannu
Male :
Kanni pengal kaananumae
Chorus :
Theeyari Esamaari
Male :
Kaatrai Pola
Chorus :
Veeram velanja mannu
Male :
Sekka sagappi
Chorus :
Theeyari Esamaari
Male :
Nenjil irudi
Chorus :
Veeram velanja mannu
Male :
Retta suzhachi
Chorus :
Theeyari Esamaari
Male :
Otti irudi
Chorus :
Veeram velanja mannu
Sozha silaithaan ivalo
Chorus :
Semba
Male :
Sola karuthaai sirichaa
Chorus :
Semba
Male :
Eezha minnal unnala
Chorus :
Semba
Male :
Naanum rasichida aagatha
Chorus :
Amba
Male :
Koodathae
Chorus :
Amba
Hoo oo oo
Kadalukkedhu oivu
Chorus :
Semba
Male :
Kadamai irukudhu ezhundhuru
Chorus :
Semba
Male :
Seeripaindhudu ambaaga
Chorus :
Semba
Male :
Kaala thangam ponaalae
Chorus :
Semba
Male :
Thambiyae ennaalum varumoda
Nanjaigalae punjaigalae
Rambaigalai vinji nirkkum vanjigalae
Nanjaigalae punjaigalae
Rambaigalai vinji nirkkum vanjigalae
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Theeyari esamaari
Male :
Kanni pengal kaananumae
Chorus :
Veeram velanja mannu
Male :
Kaatrai Pola
Chorus :
Theeyari Esamaari
Male :
Sekka sagappi
Chorus :
Veeram velanja mannu
Male :
Nenjil irudi
Chorus :
Theeyari Esamaari
Male :
Retta suzhachi
Chorus :
Veeram velanja mannu
Male :
Otti irudi
Chorus :
Theeyari Esamaari
Andho naan-ivvazhaginilae
Chorus :
Veeram velanja mannu
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
Your email address will not be published. Required fields are marked
*
Ponni Nadhi Song
Lyrics is the first single from “
Ponniyin Selvan
” tamil film, a multi-starrer film. This song is sung by “A.R.Rahman, AR Raihanah, Bamba Bakya” and music composed by Isai Puyal Oscar Nayagan “
A.R.Rahman
“. Lyrics works are penned by lyricist “Ilango Krishnan”.
Singers :
A. R. Rahman, A. R. Reihana and Bamba Bakya
Music by :
A. R. Rahman
Lyrics by
:
Ilango Krishnan
Ohh.. Kavariyaal neermadikku
Ambaramaai anaiyeduthaan
Neer satham ketadhumae
Nel poothu nikkum
Uli saththam ketadhumae
Kal poothu nikkum
Pagai satham ketadhumae
Vil poothu nikkum
Chozhathin perumaikoora
Sol poothu nikkum
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Theeyari esamaari
Kanni pengal kaananumae
Chorus :
Theeyari Esamaari
Male :
Kaatraippola
Chorus :
Theeyari Esamaari
Male :
Pottal Kadandhu
Chorus :
Theeyari Esamari
Male :
Puzhudhi Kadandhu
Chorus :
Theeyari Esamari
Male :
Tharisu Kadandhu
Chorus :
Theeyari Esamari
Male :
Karisal Kadandhu
Chorus :
Veeram Velanja Mannu
Andho naan ivvazhaginilae..
Chorus :
Haiye semba semba
Male :
Kaalam marandhadhenna..
Chorus :
Haiye
Male :
Hoo oo oo oo
Manne un maarbil kidakka
Chorus :
Pachai naranja mannu
Achho oor aasai mulaika
Chorus :
Manju thoorum mannu
Male :
En kaalam kaniyadho
Chorus :
Kokku pootha mannu
En kaalgal thaniyadho
Chorus :
Vella manasu mannu
Male :
Sembanee
Chorus :
Veeram velanja mannu
Thathatthada thathatthada thathatthada
Thadavane sel..
Chorus :
Veeram velanja mannu
Ponni Magal
Chorus :
Theeyari Esamaari
Laali lallaa laali lalla laali lalla
Paadi sellum
All :
Veera chozhapuri
Paarthu viraivaai nee
Thaavu azhaga
Thaavum nadhiyaai
Saga.. kanavai.. mudida..
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Veeram velanja mannu
Male :
Kanni pengal kaananumae
Chorus :
Theeyari Esamaari
Male :
Kaatrai Pola
Chorus :
Veeram velanja mannu
Male :
Sekka sagappi
Chorus :
Theeyari Esamaari
Male :
Nenjil irudi
Chorus :
Veeram velanja mannu
Male :
Retta suzhachi
Chorus :
Theeyari Esamaari
Male :
Otti irudi
Chorus :
Veeram velanja mannu
Sozha silaithaan ivalo
Chorus :
Semba
Male :
Sola karuthaai sirichaa
Chorus :
Semba
Male :
Eezha minnal unnala
Chorus :
Semba
Male :
Naanum rasichida aagatha
Chorus :
Amba
Male :
Koodathae
Chorus :
Amba
Hoo oo oo
Kadalukkedhu oivu
Chorus :
Semba
Male :
Kadamai irukudhu ezhundhuru
Chorus :
Semba
Male :
Seeripaindhudu ambaaga
Chorus :
Semba
Male :
Kaala thangam ponaalae
Chorus :
Semba
Male :
Thambiyae ennaalum varumoda
Nanjaigalae punjaigalae
Rambaigalai vinji nirkkum vanjigalae
Nanjaigalae punjaigalae
Rambaigalai vinji nirkkum vanjigalae
Ponni nadhi paakanumae
Chorus :
Theeyari esamaari
Male :
Pozhudhukkulla
Chorus :
Theeyari esamaari
Male :
Kanni pengal kaananumae
Chorus :
Veeram velanja mannu
Male :
Kaatrai Pola
Chorus :
Theeyari Esamaari
Male :
Sekka sagappi
Chorus :
Veeram velanja mannu
Male :
Nenjil irudi
Chorus :
Theeyari Esamaari
Male :
Retta suzhachi
Chorus :
Veeram velanja mannu
Male :
Otti irudi
Chorus :
Theeyari Esamaari
Andho naan-ivvazhaginilae
Chorus :
Veeram velanja mannu
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
Male :
Ho oh oh..
Chorus :
Ha..aa..aa
The home of Tamil Paadal Varigal. 20,000+ lyrics in Tamil & English script.",https://www.tamil2lyrics.com/lyrics/ponni-nadhi-song-lyrics-ponniyin-selvan/
62,Ratchasa Maamaney,,,,,,,,"Press Enter to search · Esc to close
Singers
:
Shreya Ghoshal, Palakkad Sriram and Mahesh Vinayakram
Music by :
A. R. Rahman
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Hooo hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Oh veeran veeran veeran veeran
Enga maman veeran
Aalamaram vera pola
Azham aana dheeran
Aattam kaana vaikka poraan
Aattukutti theeran
Naatu thalaivan motcham kolgiraan
Hoo oo hoo
Meesavacha miruga miruganae
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Thomsa vidham thomsa vidham
Imsai mozhi
Amsamena amsamena
Vamsavazhi
Vantharasan vantharasan
Kamsamugan naan
Nakkeranin nakkeranin
Puthiranae
Nithamudan nithamudan
Sathiyanae
Muthu nigar muthu nigar
Otrai magan naan
Balaganae balaganae
Balaganae balagane
Andangalin andangalin
Suttrugalai
Kandangalai kandangalai
Vendreduthu
Konda oru konda oru
Komagan naan
Ennigaraai ennigaraai
Vinnulagil
Mannulagil mannulagil
Chanthiranai
Manthiranai manthiranai
Vanthavano yaar
Kathum kadal kathum kadal
Ettum thoda
Sooriyanai sooriyanai
Thottu ida
Vada madurai
Valam varuven naan
Hoo hoo oo oo hooo
Ennam illayaa
Oh thinnam illayaa
Naan chinna pillayaa
Nee koochalittu aatchi seiya
Koochamillaya
Thollai seivadhaa..aa
Pillai vaaivadhaa..aa
Palli kolvadhaa
Nee kattumullil vetti pola
Matti kolvadhaa
Ye iyaarae iyaarae
Aaduvomae kuyaarae hoo
Ye thaiyaa thaiyaa
Thaiyaarae hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Hooo hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
……………………….
Female :
Maama maama
Ratchasa maamanae
Male :
……………………
Maama maama maama
Naana neeya naana neeya naana neeya….
Your email address will not be published. Required fields are marked
*
Singers
:
Shreya Ghoshal, Palakkad Sriram and Mahesh Vinayakram
Music by :
A. R. Rahman
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Hooo hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Oh veeran veeran veeran veeran
Enga maman veeran
Aalamaram vera pola
Azham aana dheeran
Aattam kaana vaikka poraan
Aattukutti theeran
Naatu thalaivan motcham kolgiraan
Hoo oo hoo
Meesavacha miruga miruganae
Muthathula sithathula
Thiththida vandhen
Un nethikkulla
Budhi vaikka vandhen
Thomsa vidham thomsa vidham
Imsai mozhi
Amsamena amsamena
Vamsavazhi
Vantharasan vantharasan
Kamsamugan naan
Nakkeranin nakkeranin
Puthiranae
Nithamudan nithamudan
Sathiyanae
Muthu nigar muthu nigar
Otrai magan naan
Balaganae balaganae
Balaganae balagane
Andangalin andangalin
Suttrugalai
Kandangalai kandangalai
Vendreduthu
Konda oru konda oru
Komagan naan
Ennigaraai ennigaraai
Vinnulagil
Mannulagil mannulagil
Chanthiranai
Manthiranai manthiranai
Vanthavano yaar
Kathum kadal kathum kadal
Ettum thoda
Sooriyanai sooriyanai
Thottu ida
Vada madurai
Valam varuven naan
Hoo hoo oo oo hooo
Ennam illayaa
Oh thinnam illayaa
Naan chinna pillayaa
Nee koochalittu aatchi seiya
Koochamillaya
Thollai seivadhaa..aa
Pillai vaaivadhaa..aa
Palli kolvadhaa
Nee kattumullil vetti pola
Matti kolvadhaa
Ye iyaarae iyaarae
Aaduvomae kuyaarae hoo
Ye thaiyaa thaiyaa
Thaiyaarae hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
Hooo hoo
Ratchasa maamanae
Rathiriyin sooriyanae
Kovaipalam polae
Nee kobam kolladhae
Un aaram budhi
Thera budhithaan
……………………….
Female :
Maama maama
Ratchasa maamanae
Male :
……………………
Maama maama maama
Naana neeya naana neeya naana neeya….
The home of Tamil Paadal Varigal. 20,000+ lyrics in Tamil & English script.",https://www.tamil2lyrics.com/lyrics/ratchasa-maamaney-song-lyrics/
63,Sol,,,,,,,,"Press Enter to search · Esc to close
Singer
:
Rakshita Suresh
Music by :
A. R. Rahman
Lyrics by :
Krithika Nelson
Sol Song Lyrics
Third Single from “
Ponniyin Selvan
” a multi-starrer tamil film. This song is sung by “
Rakshita Suresh
” and music composed by Isai Puyal “
A.R. Rahman
“. Lyrics woks are penned by lyricist “Krithika Nelson”.
Hmm mm mmhmm mm mm ….
Female :
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Perzhagana sol
Kodarmogana sol
Maaveerana sol
Vaaijaalana sol
Oodathae solladi
Oor varthai sol
Kavalana sol
En yevalana sol
Porali ah sol
Illae ododi ah sol
Keechu kurala sol
Kavi-arasa sol
Ippodhae sol
Adi ingaeye sol
Mayaiya sol
Maayana sol
Hmm mm mmhmm mm mm ….
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Hmm mm mmhmm mm mm ….
Aaah…aaaha…
Aah…aaaha…
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Perzhagana sol
Kodarmogana sol
Engae avan sol
Yedhenum sol
Maaveerana sol
Vaaijaalana sol
Kavalana sol
En evalana sol
Keechu kurala sol
Kavi-arasa sol
Ippodhae sol
Adi ingaeye sol
Mayaiya sol
Maayana sol
Hmm mm mmhmm mm mm ….
Your email address will not be published. Required fields are marked
*
Singer
:
Rakshita Suresh
Music by :
A. R. Rahman
Lyrics by :
Krithika Nelson
Sol Song Lyrics
Third Single from “
Ponniyin Selvan
” a multi-starrer tamil film. This song is sung by “
Rakshita Suresh
” and music composed by Isai Puyal “
A.R. Rahman
“. Lyrics woks are penned by lyricist “Krithika Nelson”.
Hmm mm mmhmm mm mm ….
Female :
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Perzhagana sol
Kodarmogana sol
Maaveerana sol
Vaaijaalana sol
Oodathae solladi
Oor varthai sol
Kavalana sol
En yevalana sol
Porali ah sol
Illae ododi ah sol
Keechu kurala sol
Kavi-arasa sol
Ippodhae sol
Adi ingaeye sol
Mayaiya sol
Maayana sol
Hmm mm mmhmm mm mm ….
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Hmm mm mmhmm mm mm ….
Aaah…aaaha…
Aah…aaaha…
Kaadhodu Sol
Kaadhodu sol
Yarendru sol
Yarendru sol
Perzhagana sol
Kodarmogana sol
Engae avan sol
Yedhenum sol
Maaveerana sol
Vaaijaalana sol
Kavalana sol
En evalana sol
Keechu kurala sol
Kavi-arasa sol
Ippodhae sol
Adi ingaeye sol
Mayaiya sol
Maayana sol
Hmm mm mmhmm mm mm ….
The home of Tamil Paadal Varigal. 20,000+ lyrics in Tamil & English script.",https://www.tamil2lyrics.com/lyrics/sol-song-lyrics/
