query_id,query,final_query,query_type,expected_titles,retrieved_titles,hit@5,precision@5,mrr
Q013,Mass songs by Anirudh,Mass songs by Anirudh,structured_filter,marana mass,marana mass | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | vennilave,1,0.2,1.0
Q014,Find songs about love,Find songs about love anbu kaadhal kadhal love romance romantic அன்பு காதல்,theme_search,roja kadale | venmegam pennaga | vennilave,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | roja kadale | vizhi moodi yosithal,1,0.4,0.5
Q015,Show songs about eyes,Show songs about eyes eye eyes gaze kan kann look nayanam paarvai vizhi கண் கண்ணே நயனம் பார்வை விழி,theme_search,vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal,1,0.8,1.0
Q016,List songs about moonlight,List songs about moonlight,theme_search,vennilave,vennilave | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,1.0
Q017,Find fantasy love songs,Find fantasy love songs anbu kaadhal kadhal love romance romantic அன்பு காதல்,theme_search,venmegam pennaga,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga,1,0.2,0.2
Q018,Find mass energetic songs,Find mass energetic songs,theme_search,marana mass,marana mass | vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal,1,0.2,1.0
Q019,lines about a rose and a king's daughter,lines about a rose and a king's daughter,semantic_lyrics,roja kadale,roja kadale | vennilave | vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga,1,0.2,1.0
Q020,lines about white cloud becoming a woman,lines about white cloud becoming a woman cloud drizzle mazhai rain மழை,semantic_lyrics,venmegam pennaga,vizhi moodi yosithal | venmegam pennaga | vennilave | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,0.5
Q021,lines about yellow sunlight and lightning,lines about yellow sunlight and lightning,semantic_lyrics,venmegam pennaga,venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal,1,0.2,1.0
Q022,lines about the moon coming down to earth,lines about the moon coming down to earth,semantic_lyrics,vennilave,vennilave | venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal | marana mass,1,0.2,1.0
Q023,lines about closing eyes and thinking,lines about closing eyes and thinking eye eyes gaze kan kann look nayanam paarvai vizhi கண் கண்ணே நயனம் பார்வை விழி,semantic_lyrics,vizhi moodi yosithal,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga,1,0.6,1.0
Q024,lines about rain bird,lines about rain bird cloud drizzle mazhai rain மழை,semantic_lyrics,vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga | vennilave | vizhi moodi yosithal,1,0.6,1.0
Q025,lines about who is above and who is below,lines about who is above and who is below,semantic_lyrics,marana mass,marana mass | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | vennilave,1,0.2,1.0
Q026,kan pathi song lines,kan pathi song lines eye eyes gaze kan kann look nayanam paarvai vizhi கண் கண்ணே நயனம் பார்வை விழி,tanglish_query,vizhi moodi yosithal,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal,1,0.6,1.0
Q027,mazhai irukkura lines,mazhai irukkura lines cloud drizzle mazhai rain மழை,tanglish_query,vizhi moodi yosithal,vizhi moodi yosithal | venmegam pennaga | marana mass | vizhi moodi yosithal | vennilave,1,0.4,1.0
Q028,kadhal songs sollu,kadhal songs sollu anbu kaadhal kadhal love romance romantic அன்பு காதல்,tanglish_query,roja kadale | venmegam pennaga | vennilave,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | roja kadale | venmegam pennaga,1,0.6,1.0
Q029,mass song ah kaatu,mass song ah kaatu,tanglish_query,marana mass,marana mass | vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga,1,0.2,1.0
Q030,Anirudh oda songs,Anirudh oda songs,tanglish_query,marana mass,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | marana mass,1,0.2,0.2
Q031,காதல் பாடல்கள் காட்டு,காதல் பாடல்கள் காட்டு anbu kaadhal kadhal love romance romantic அன்பு காதல்,tamil_query,roja kadale | venmegam pennaga | vennilave,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | roja kadale,1,0.4,1.0
Q032,கண் பற்றி வரும் வரிகள்,கண் பற்றி வரும் வரிகள் eye eyes gaze kan kann look nayanam paarvai vizhi கண் கண்ணே நயனம் பார்வை விழி,tamil_query,vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal | vizhi moodi yosithal,1,0.8,1.0
Q033,மழை பற்றி வரிகள்,மழை பற்றி வரிகள் cloud drizzle mazhai rain மழை,tamil_query,vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga | vennilave | vizhi moodi yosithal,1,0.6,1.0
Q038,romantic song from 2015 by Harris Jayaraj,romantic song from 2015 by Harris Jayaraj anbu kaadhal kadhal love romance romantic அன்பு காதல்,structured_filter,roja kadale,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal,0,0.0,0.0
Q039,song from Petta with mass theme,song from Petta with mass theme,structured_filter,marana mass,marana mass | vizhi moodi yosithal | vennilave | venmegam pennaga | vizhi moodi yosithal,1,0.2,1.0
Q040,song with moon theme from Thuppakki,song with moon theme from Thuppakki,structured_filter,vennilave,vennilave | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,1.0
